Instância,Média energia total gasta,Média tempo de duração,Média número de Veículos,Desvio Padrão,Mediana
1,16589.5,14.8,1.0,0.0,16589.5
2,24825.65,43.4,1.0,604.21,24450.5
3,83980.87,4995.9,10.0,0.0,83980.87
4,83980.87,4648.5,10.0,0.0,83980.87
5,14535.8,18.5,1.0,0.0,14535.8
6,28474.5,179.0,2.0,458.56,28829.7
7,83980.87,4982.9,10.0,0.0,83980.87
8,27038.31,79.6,1.8,607.02,27284.97
9,83939.32,5013.7,10.0,131.4,83980.87
10,83977.56,5439.5,10.0,10.47,83980.87
11,22350.1,271.3,1.0,0.0,22350.1
12,83980.87,4668.7,10.0,0.0,83980.87
13,83961.6,5068.5,10.0,60.92,83980.87
14,83973.85,5054.9,10.0,22.2,83980.87
15,68462.8,18802.9,4.0,0.0,68462.8
16,68462.8,18096.4,4.0,0.0,68462.8
17,20701.8,42.3,1.0,0.0,20701.8
18,32147.16,150.1,1.0,286.14,32368.8
19,68462.8,18650.2,4.0,0.0,68462.8
20,68462.8,17851.0,4.0,0.0,68462.8
21,68462.8,18845.7,4.0,0.0,68462.8
22,20825.7,34.0,1.0,0.0,20825.7
23,68462.8,17943.7,4.0,0.0,68462.8
24,18388.3,4.9,1.0,0.0,18388.3
25,68462.8,19786.0,4.0,0.0,68462.8
26,68462.8,18116.2,4.0,0.0,68462.8
27,15112.0,11.3,1.0,0.0,15112.0
28,63409.65,129.0,1.0,12456.71,67383.0
29,89310.78,14337.4,8.0,268.74,89370.0
30,89391.35,13819.1,8.0,60.45,89370.0
31,17513.8,36.4,1.0,0.0,17513.8
32,23437.98,103.4,1.0,83.86,23464.5
33,89344.61,15076.0,8.0,218.28,89370.0
34,14309.4,231.7,1.0,0.0,14309.4
35,89290.0,14543.1,8.0,365.01,89370.0
36,13130.7,17.7,1.0,0.0,13130.7
37,89159.62,19801.7,8.0,258.24,89313.12
38,13348.4,19.7,1.0,0.0,13348.4
39,25134.71,224.5,2.0,275.36,24963.7
40,89332.6,14553.5,8.0,186.7,89364.26
41,89350.1,14408.9,8.0,38.17,89370.0
42,89298.91,16298.9,8.0,195.46,89336.16
43,89393.53,11663.0,8.0,132.56,89370.0
44,89369.1,14821.8,8.0,73.49,89370.0
45,89147.15,15851.9,8.0,676.83,89370.0
46,89407.14,14941.0,8.0,83.53,89370.0
47,76440.0,29643.0,4.0,0.0,76440.0
48,17122.9,93.7,1.0,0.0,17122.9
49,76440.0,31821.2,4.0,0.0,76440.0
50,12508.6,19.0,1.0,0.0,12508.6
51,29560.47,246.2,1.0,203.65,29692.05
52,76440.0,32099.0,4.0,0.0,76440.0
53,31798.9,5.0,1.0,0.0,31798.9
54,20052.7,45.0,1.0,0.0,20052.7
55,76440.0,29868.6,4.0,0.0,76440.0
56,76440.0,29860.1,4.0,0.0,76440.0
57,76440.0,31585.0,4.0,0.0,76440.0
58,76440.0,29955.2,4.0,0.0,76440.0
59,76440.0,31315.7,4.0,0.0,76440.0
60,76440.0,30342.4,4.0,0.0,76440.0
61,27253.69,219.8,1.0,820.34,27136.75
62,76440.0,29652.7,4.0,0.0,76440.0
63,76440.0,30196.7,4.0,0.0,76440.0
64,105229.81,5354.5,9.0,0.0,105229.81
65,105005.28,7410.7,9.0,341.9,105117.61
66,25552.7,24.3,1.0,0.0,25552.7
67,105095.71,6322.2,9.0,400.69,105229.81
68,34509.03,63.1,2.0,521.05,34673.8
69,105213.28,5369.6,9.0,52.27,105229.81
70,105153.16,7075.1,9.0,151.02,105229.81
71,18976.7,4.9,1.0,0.0,18976.7
72,105217.01,5708.4,9.0,32.81,105229.81
73,104994.02,7656.6,9.0,260.72,105064.51
74,105211.89,6006.5,9.0,39.04,105229.81
75,71087.7,5.7,1.0,0.0,71087.7
76,31218.84,46.5,1.1,1017.01,31428.0
77,31817.0,91.4,2.0,0.0,31817.0
78,87149.61,28269.7,3.8,1759.56,86371.3
79,23717.31,41.4,1.0,151.88,23786.4
80,86211.17,28143.7,3.9,506.38,86371.3
81,33108.2,77.7,1.0,0.0,33108.2
82,87136.75,27594.3,3.8,1792.13,86371.3
83,86192.98,29443.4,3.7,2679.43,86371.3
84,17189.9,17.3,1.0,0.0,17189.9
85,34602.25,74.9,1.0,1236.63,33658.4
86,86905.38,27816.7,3.8,1134.37,86371.3
87,27108.8,42.3,1.0,0.0,27108.8
88,86639.49,27611.1,3.8,1361.75,86371.3
89,86214.99,27295.6,3.8,354.26,86371.3
90,86537.16,25098.9,3.8,1393.46,86371.3
91,16098.3,14.7,1.0,0.0,16098.3
