Instância,Energia total gasta,total de rotas,rotas factíveis
1,15359.3,1,1
2,24372.8,1,0
3,81771.63,10,10
4,81771.63,10,10
5,13628.8,1,1
6,26766.920000000002,2,1
7,81771.63,10,10
8,25529.7,1,0
9,81771.63,10,10
10,81771.63,10,10
11,18906.2,1,0
12,81771.63,10,10
13,81771.63,10,10
14,81771.63,10,10
15,76444.29999999999,3,0
16,76444.29999999999,3,0
17,21455.8,1,0
18,29794.9,1,0
19,76444.29999999999,3,0
20,76444.29999999999,3,0
21,76444.29999999999,3,0
22,21524.2,1,0
23,76444.29999999999,3,0
24,16772.7,1,1
25,76444.29999999999,3,0
26,76444.29999999999,3,0
27,14219.5,1,1
28,25698.7,1,0
29,87889.67,8,8
30,87889.67,8,8
31,17628.3,1,1
32,22714.1,1,0
33,87889.67,8,8
34,13794.2,1,1
35,87889.67,8,8
36,12438.8,1,1
37,87889.67,8,8
38,12162.1,1,1
39,23540.14,2,1
40,87889.67,8,8
41,87889.67,8,8
42,87889.67,8,8
43,87889.67,8,8
44,87889.67,8,8
45,87889.67,8,8
46,87889.67,8,8
47,101958.2,2,0
48,17093.5,1,1
49,101958.2,2,0
50,11443.0,1,1
51,26793.4,1,0
52,101958.2,2,0
53,16233.4,1,1
54,19578.9,1,0
55,101958.2,2,0
56,101958.2,2,0
57,101958.2,2,0
58,101958.2,2,0
59,101958.2,2,0
60,101958.2,2,0
61,24485.2,1,0
62,101958.2,2,0
63,101958.2,2,0
64,102415.40999999999,9,9
65,102415.40999999999,9,9
66,28473.0,1,0
67,102415.40999999999,9,9
68,29868.491,2,1
69,102415.40999999999,9,9
70,102415.40999999999,9,9
71,18796.8,1,0
72,102415.40999999999,9,9
73,102415.40999999999,9,9
74,102415.40999999999,9,9
75,19380.6,1,0
76,29996.3,1,0
77,29295.7,2,2
78,103917.79999999999,2,0
79,23679.4,1,0
80,103917.79999999999,2,0
81,28069.5,1,0
82,103917.79999999999,2,0
83,103917.79999999999,2,0
84,16439.0,1,1
85,30803.9,1,0
86,103917.79999999999,2,0
87,26918.9,1,0
88,103917.79999999999,2,0
89,103917.79999999999,2,0
90,103917.79999999999,2,0
91,15625.1,1,1
