RouteID    RoutePoints           Energy
R1         0 57 55 54 53 56 58 60 59 0     9990.21
R2         0 32 33 31 35 37 38 39 36 34 0     9560.56
R3         0 91 89 88 85 84 82 83 86 87 90 0     7371.69
R4         0 11 12 14 16 19 15 18 17 13 0     10019.2
R5         0 81 78 76 71 70 73 77 79 80 72 61 64 68 66 0     13783
R6         0 47 49 52 50 51 48 45 44 46 42 40 41 43 0     6425.63
R7         0 98 96 95 94 92 93 97 100 99 10 0     10165
R8         0 75 1 2 4 6 9 8 7 5 3 0     5120.83
R9         0 69 62 74 63 65 67 0     4369.24
R10        0 20 21 22 24 25 27 29 30 28 26 23 0     4899.5
