RouteID    RoutePoints           Energy
R1         0 57 55 54 53 56 58 60 59 0     24199.8
R2         0 32 33 31 35 37 38 39 36 34 0     23120.8
R3         0 91 89 88 85 84 82 83 86 87 90 0     17981.1
R4         0 11 12 14 16 19 15 18 17 13 0     24030.8
R5         0 81 78 76 71 70 73 77 79 80 72 61 64 68 66 0     33050.2
R6         0 47 49 52 50 51 48 45 44 46 42 40 41 43 0     15664.3
R7         0 98 96 95 94 92 93 97 100 99 3 0     23262.2
R8         0 75 1 2 4 6 9 8 7 5 10 0     14045.7
R9         0 69 62 74 63 65 67 0     10624.3
R10        0 20 21 22 24 25 27 29 30 28 26 23 0     12041.9
